2026-04-14 00:14:28 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.036s
2026-04-14 00:14:28 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:28 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.302s
2026-04-14 00:14:28 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:28 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:28 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 3.169s
2026-04-14 00:14:30 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:30 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 2.623s
2026-04-14 00:14:30 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:30 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.022s
2026-04-14 00:14:30 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:31 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.570s
2026-04-14 00:14:31 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:31 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:31 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 3.216s
2026-04-14 00:14:34 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:34 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 3.365s
2026-04-14 00:14:34 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:35 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.375s
2026-04-14 00:14:35 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:35 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.397s
2026-04-14 00:14:35 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:35 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:35 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 4.138s
2026-04-14 00:14:38 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:38 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 2.811s
